1 15 5612 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0
2 15 5229 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1
3 15 7368 0 1 1 0 1 0 1 0 1 1 1 1 1 1 1
4 15 5631 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0
5 15 6560 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1
6 15 6915 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1
7 15 5234 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1
8 15 6581 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0
9 15 6804 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1
10 15 5609 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1
11 15 4670 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1
12 15 5537 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1
13 15 6172 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1
14 15 5710 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1
15 15 5538 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1
16 15 6624 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1
17 15 7082 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1
18 15 7337 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0
19 15 6133 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1
20 15 7440 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1
21 15 4847 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1
22 15 6276 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1
23 15 6653 1 1 1 1 1 0 0 1 1 1 1 0 1 0 1
24 15 5596 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1
